,time,Z
2480,2.48,-0.41983
2481,2.481,-0.418257
2482,2.482,-0.416679
2483,2.483,-0.415082
2484,2.484,-0.41347
2485,2.485,-0.411856
2486,2.486,-0.410222
2487,2.487,-0.408588
2488,2.488,-0.406924
2489,2.489,-0.40526
2490,2.49,-0.403576
2491,2.491,-0.401887
2492,2.492,-0.40018
2493,2.493,-0.398463
2494,2.494,-0.396732
2495,2.495,-0.394992
2496,2.496,-0.393238
2497,2.497,-0.391474
2498,2.498,-0.389698
2499,2.499,-0.387907
2500,2.5,-0.386103
2501,2.501,-0.384303
2502,2.502,-0.382465
2503,2.503,-0.380629
2504,2.504,-0.378787
2505,2.505,-0.376912
2506,2.506,-0.37505
2507,2.507,-0.373156
2508,2.508,-0.371267
2509,2.509,-0.369348
2510,2.51,-0.367423
2511,2.511,-0.365497
2512,2.512,-0.363544
2513,2.513,-0.361594
2514,2.514,-0.359618
2515,2.515,-0.357626
2516,2.516,-0.355635
2517,2.517,-0.353629
2518,2.518,-0.351611
2519,2.519,-0.349574
2520,2.52,-0.347525
2521,2.521,-0.345467
2522,2.522,-0.343418
2523,2.523,-0.341321
2524,2.524,-0.339229
2525,2.525,-0.337128
2526,2.526,-0.335
2527,2.527,-0.332889
2528,2.528,-0.330735
2529,2.529,-0.328585
2530,2.53,-0.326424
2531,2.531,-0.324241
2532,2.532,-0.322042
2533,2.533,-0.319842
2534,2.534,-0.317639
2535,2.535,-0.315409
2536,2.536,-0.313168
2537,2.537,-0.31093
2538,2.538,-0.308662
2539,2.539,-0.306386
2540,2.54,-0.304106
2541,2.541,-0.301818
2542,2.542,-0.299499
2543,2.543,-0.29717
2544,2.544,-0.294832
2545,2.545,-0.292499
2546,2.546,-0.290156
2547,2.547,-0.287769
2548,2.548,-0.285401
2549,2.549,-0.283011
2550,2.55,-0.280601
2551,2.551,-0.278196
2552,2.552,-0.275766
2553,2.553,-0.273322
2554,2.554,-0.270883
2555,2.555,-0.268417
2556,2.556,-0.265948
2557,2.557,-0.263464
2558,2.558,-0.260974
2559,2.559,-0.258447
2560,2.56,-0.255942
2561,2.561,-0.253404
2562,2.562,-0.250864
2563,2.563,-0.248316
2564,2.564,-0.245748
2565,2.565,-0.243175
2566,2.566,-0.24059
2567,2.567,-0.237981
2568,2.568,-0.235367
2569,2.569,-0.232766
2570,2.57,-0.230134
2571,2.571,-0.227489
2572,2.572,-0.224831
2573,2.573,-0.222169
2574,2.574,-0.219507
2575,2.575,-0.216806
2576,2.576,-0.214112
2577,2.577,-0.211414
2578,2.578,-0.208687
2579,2.579,-0.205952
2580,2.58,-0.203226
2581,2.581,-0.200456
2582,2.582,-0.197705
2583,2.583,-0.194911
2584,2.584,-0.192121
2585,2.585,-0.189328
2586,2.586,-0.186522
2587,2.587,-0.183712
2588,2.588,-0.18089
2589,2.589,-0.17803
2590,2.59,-0.175189
2591,2.591,-0.172318
2592,2.592,-0.16944
2593,2.593,-0.166558
2594,2.594,-0.163665
2595,2.595,-0.160759
2596,2.596,-0.15783
2597,2.597,-0.154913
2598,2.598,-0.151968
2599,2.599,-0.149039
2600,2.6,-0.146078
2601,2.601,-0.143108
2602,2.602,-0.140134
2603,2.603,-0.13717
2604,2.604,-0.134155
2605,2.605,-0.131145
2606,2.606,-0.128156
2607,2.607,-0.12511
2608,2.608,-0.122094
2609,2.609,-0.119034
2610,2.61,-0.115986
2611,2.611,-0.11292
2612,2.612,-0.109844
2613,2.613,-0.106765
2614,2.614,-0.103673
2615,2.615,-0.100566
2616,2.616,-0.097461
2617,2.617,-0.094343
2618,2.618,-0.091225
2619,2.619,-0.088049
2620,2.62,-0.08495
2621,2.621,-0.081758
2622,2.622,-0.078592
2623,2.623,-0.075423
2624,2.624,-0.072222
2625,2.625,-0.069023
2626,2.626,-0.065809
2627,2.627,-0.06259
2628,2.628,-0.05939
2629,2.629,-0.056162
2630,2.63,-0.052934
2631,2.631,-0.049674
2632,2.632,-0.046424
2633,2.633,-0.043145
2634,2.634,-0.039848
2635,2.635,-0.0366
2636,2.636,-0.033319
2637,2.637,-0.030013
2638,2.638,-0.026711
2639,2.639,-0.023372
2640,2.64,-0.020082
2641,2.641,-0.016751
2642,2.642,-0.013407
2643,2.643,-0.010023
2644,2.644,-0.006677
2645,2.645,-0.003311
2646,2.646,7.2e-05
2647,2.647,0.003436
2648,2.648,0.00681
2649,2.649,0.010215
2650,2.65,0.013605
2651,2.651,0.017023
2652,2.652,0.020415
2653,2.653,0.023859
2654,2.654,0.02729
2655,2.655,0.030704
2656,2.656,0.034162
2657,2.657,0.037632
2658,2.658,0.041067
2659,2.659,0.044524
2660,2.66,0.048023
2661,2.661,0.051492
2662,2.662,0.054986
2663,2.663,0.058455
2664,2.664,0.061982
2665,2.665,0.065465
2666,2.666,0.068996
2667,2.667,0.072494
2668,2.668,0.07604
2669,2.669,0.079545
2670,2.67,0.083105
2671,2.671,0.086637
2672,2.672,0.090201
2673,2.673,0.093738
2674,2.674,0.097338
2675,2.675,0.100864
2676,2.676,0.104446
2677,2.677,0.108049
2678,2.678,0.11161
2679,2.679,0.1152
2680,2.68,0.118849
2681,2.681,0.122416
2682,2.682,0.126046
2683,2.683,0.129678
2684,2.684,0.133275
2685,2.685,0.136882
2686,2.686,0.140527
2687,2.687,0.144162
2688,2.688,0.147812
2689,2.689,0.151453
2690,2.69,0.15511
2691,2.691,0.15877
2692,2.692,0.162409
2693,2.693,0.166094
2694,2.694,0.169768
2695,2.695,0.173441
2696,2.696,0.177108
2697,2.697,0.180805
2698,2.698,0.184488
2699,2.699,0.188197
2700,2.7,0.191879
2701,2.701,0.195586
2702,2.702,0.19929
2703,2.703,0.203004
2704,2.704,0.206713
2705,2.705,0.210437
2706,2.706,0.214158
2707,2.707,0.217876
2708,2.708,0.221626
2709,2.709,0.225337
2710,2.71,0.229098
2711,2.711,0.232827
2712,2.712,0.236577
2713,2.713,0.240357
2714,2.714,0.244117
2715,2.715,0.247864
2716,2.716,0.251653
2717,2.717,0.255392
2718,2.718,0.259145
2719,2.719,0.262927
2720,2.72,0.266724
2721,2.721,0.270472
2722,2.722,0.274276
2723,2.723,0.278049
2724,2.724,0.281822
2725,2.725,0.285615
2726,2.726,0.289388
2727,2.727,0.29321
2728,2.728,0.296984
2729,2.729,0.300784
2730,2.73,0.30458
2731,2.731,0.308376
2732,2.732,0.312191
2733,2.733,0.315975
2734,2.734,0.31981
2735,2.735,0.323585
2736,2.736,0.327432
2737,2.737,0.331197
2738,2.738,0.335045
2739,2.739,0.338864
2740,2.74,0.342655
2741,2.741,0.346492
2742,2.742,0.350262
2743,2.743,0.354101
2744,2.744,0.357941
2745,2.745,0.361752
2746,2.746,0.365607
2747,2.747,0.369375
2748,2.748,0.373215
2749,2.749,0.377074
2750,2.75,0.380914
2751,2.751,0.384732
2752,2.752,0.388571
2753,2.753,0.392425
2754,2.754,0.39625
2755,2.755,0.400068
2756,2.756,0.403907
2757,2.757,0.407712
2758,2.758,0.411562
2759,2.759,0.415391
2760,2.76,0.41922
2761,2.761,0.423051
2762,2.762,0.426891
2763,2.763,0.430705
2764,2.764,0.434523
2765,2.765,0.438364
2766,2.766,0.442184
2767,2.767,0.445999
2768,2.768,0.449828
2769,2.769,0.453644
2770,2.77,0.457465
2771,2.771,0.461355
2772,2.772,0.465129
2773,2.773,0.468887
2774,2.774,0.472743
2775,2.775,0.476573
2776,2.776,0.480374
2777,2.777,0.484184
2778,2.778,0.488066
2779,2.779,0.491756
2780,2.78,0.4956
2781,2.781,0.499486
2782,2.782,0.503256
2783,2.783,0.507038
2784,2.784,0.510757
2785,2.785,0.514612
2786,2.786,0.518487
2787,2.787,0.522169
2788,2.788,0.52599
2789,2.789,0.52979
2790,2.79,0.533593
2791,2.791,0.537358
2792,2.792,0.54117
2793,2.793,0.544952
